,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,low_freq_noise,target
313,7,1,0.5796296296296297,0.8114814814814816,1.8548148148148151,0.022405766599147274,0.02055549747849459,0.005633387337121192,6.115318035449391,0.6106417094564982,1.2559012545975392,0.019686159160336038,0.000886882667888958,0.0012695884981162777,1,0.0
314,1,0,0.5796296296296297,1.8548148148148151,2.2025925925925933,0.04817781970019288,0.014239603044698144,0.014029193327075612,6.4593385331502144,1.3471111111632226,1.6738913731822933,0.042581893441672056,0.001477680698810352,0.0006617785227024317,1,0.0
315,39,21,0.2318518518518519,0.9274074074074076,6.0281481481481505,0.002887804586053393,0.002330894343783481,0.002069960208008984,1.4059088952458754,2.6568561357543325,1.5972031751168245,0.002669153878696169,0.0009312721930475757,0.002057502955293034,1,0.0
316,38,23,0.2318518518518519,0.8114814814814816,11.824444444444447,0.003825058042710431,0.00376284463354889,0.002650245034593652,1.2445003181511893,1.969326103451973,2.197362692341656,0.0024307278273742227,0.0031118703220370894,0.002558479833249422,1,0.0
317,29,15,0.6955555555555557,0.2318518518518519,3.941481481481482,0.005445510796023411,0.005186868586672389,0.0023180596281862213,2.5706410225986724,1.1099608079925811,1.7722264877517304,0.003727656461691653,0.003275124744717316,0.001994830716865663,1,0.0
318,37,25,0.6955555555555557,0.4637037037037038,0.2318518518518519,0.003433362913527639,0.00325247730520818,0.0031372803016764955,3.0799110831091743,0.5565373345478504,0.843673682796912,0.001091465696047976,7.484428981771206e-05,0.0005467044675605834,1,0.0
319,35,23,0.8114814814814816,1.1592592592592594,3.941481481481482,0.002557632548507268,0.0021228858771978197,0.001981966060062855,2.5260082588576527,1.1641463000028818,2.3075843634726354,0.0019571764178616365,0.0012626275086120584,0.0018248105254753903,1,0.0
320,11,3,11.940370370370374,6.0281481481481505,0.8114814814814816,0.009912379326136379,0.004301290163045901,0.002881361793267189,1.4279876754650616,1.8788810145633335,2.3663038387353508,0.009905265700357907,0.0042205372138638,0.0026628497220042985,1,0.0
321,12,3,11.940370370370374,6.0281481481481505,17.968518518518525,0.020669850350405475,0.006469594444973907,0.003784231341611111,1.4022155819073419,1.596556729626208,1.3351148695524842,0.02054795431600639,0.006291732949384997,0.0036259862421486643,0,0.0
322,35,18,11.940370370370374,0.8114814814814816,0.34777777777777785,0.0053965370540269,0.003742994376407811,0.0035340683454282507,2.5974132494908986,1.5824409059899445,2.241204006882379,0.0051267510238380025,0.003102793953019699,0.0022610047427860354,1,0.0
323,33,23,0.34777777777777785,0.6955555555555557,1.3911111111111114,0.005499948304590444,0.004328303630616682,0.003139966809073902,1.0548183408664111,2.9629945371469146,1.5281229486359216,0.003990316407722701,0.0024378189713421695,0.002334999172588598,1,0.0
324,31,18,0.2318518518518519,0.4637037037037038,1.0433333333333334,0.004826713427000427,0.004221860196834206,0.003425931227933957,2.8200388884296936,0.5821184322762609,1.0839849400083263,0.00246774419248779,0.0003227985411893928,0.0018235485668954764,1,0.0
325,30,18,0.8114814814814816,0.34777777777777785,6.0281481481481505,0.002998917397210622,0.0019585872999243,0.0017485584859491744,2.0001145138409724,2.432996588542249,1.618435269066893,0.0022681721234754483,0.0009110302844261835,0.0016242496393311487,1,0.0
326,40,22,0.8114814814814816,11.940370370370374,0.2318518518518519,0.0030751460734529685,0.0028513283882098434,0.00259048822392242,1.9963696934098696,2.622549852315842,1.3007368442071767,0.002713649947313044,0.002821655135925752,0.0021170538633499963,1,0.0
327,29,18,11.940370370370374,8.810370370370373,9.042222222222225,0.005147808038237948,0.003944414309965192,0.0028799263580704714,2.1835074723628907,1.5279147360536314,0.9526397066897658,0.0050829842389581315,0.0035096238351950445,0.0016314987216794541,0,0.0
328,34,18,11.940370370370374,8.810370370370373,0.8114814814814816,0.003427017015140831,0.0026558713103072237,0.0025890968708754173,2.7190565280844794,1.5944399782781744,2.372795017210146,0.00336796994448931,0.002576511861483399,0.002157864065803076,1,0.0
329,48,35,4.173333333333334,5.912222222222224,3.4777777777777783,0.01418158350343861,0.013682428508660057,0.012850814429860002,2.2047909265731533,4.293889935724941,5.383246945976971,0.013042911778003168,0.012974567061904724,0.011297297973933597,0,0.0
330,40,28,4.637037037037039,8.230740740740742,5.44851851851852,0.00957596433047287,0.008530122565630386,0.008344691994223004,1.6075608421667553,1.2740771920861391,3.0311377231461236,0.008869211042268994,0.006999184218505049,0.004950239062052706,0,0.0
331,43,28,12.288148148148153,8.57851851851852,8.230740740740742,0.010626937623768058,0.009956222645674228,0.0076260715200974685,4.940582333443501,2.8952889656593044,0.9213658344930877,0.010282547535518364,0.009463675893429578,0.005024791603557014,0,0.0
332,15,6,0.8114814814814816,1.3911111111111114,0.34777777777777785,0.02061339217392847,0.013707477735301926,0.00796768501426435,3.0927220745220714,2.629865848444176,1.1849089068171033,0.019630007128041853,0.012469077265606027,0.004124783218105586,1,0.0
333,25,16,0.9274074074074076,0.34777777777777785,6.0281481481481505,0.0031311400939472624,0.002484480968206437,0.0016590202534660628,2.410702563466419,2.120348151195553,3.2613985253886213,0.003032907686956598,0.0021528177757906795,0.001597363648781779,1,0.0
334,22,10,11.940370370370374,0.9274074074074076,0.34777777777777785,0.006195872037989881,0.002982600648546353,0.002814493919808102,1.9223279445850494,1.9703772308413354,1.0355992978468176,0.006181893058207739,0.0020306407384377877,0.0014486589372675143,1,0.0
335,19,4,11.940370370370374,0.8114814814814816,0.4637037037037038,0.012799605298159466,0.005116986208405334,0.0044575995268134536,1.493183388019716,2.0996285954708505,2.8812029793974854,0.012731090638850513,0.003877462119200952,0.0027597826949425884,1,0.0
336,8,2,0.34777777777777785,0.5796296296296297,1.0433333333333334,0.017325628149750194,0.0110955371102519,0.006103115637357961,1.2969746352034361,0.7626615113492612,0.773173718964741,0.012422095184310394,0.00334471856987858,0.0013745535602906964,1,0.0
337,40,26,0.8114814814814816,7.99888888888889,8.230740740740742,0.003514838263965625,0.0034452630433015603,0.0028409789143249713,2.0411416902344115,1.3081788877948668,0.9931460634878704,0.0027123107124851806,0.0033578749815733992,0.0017809060576071648,1,0.0
