,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,low_freq_noise,target
346,4,1,12.375000000000005,0.6250000000000001,1.3750000000000002,0.04346394160249535,0.02537862813037517,0.009317704613607071,1.400976966787681,0.6499450566549116,3.1602057410559894,0.04299471867937899,0.0025988659041722498,0.006940467743992762,1,0.0
347,36,18,8.750000000000002,9.375000000000002,9.125000000000002,0.01249777503197402,0.01153094484256903,0.011103490427520405,1.8592657436540776,0.9904450593152347,0.9176273755698503,0.012475730053658386,0.006708209187682207,0.0052460302645855154,0,0.0
348,5,2,12.375000000000005,12.000000000000005,12.625000000000005,0.046054009978902535,0.033894796420313456,0.017221627382841727,1.699246617758348,1.8728975156504077,0.7180453228231443,0.04593265411570002,0.02789602155925036,0.004393857560745304,0,0.0
349,11,1,12.375000000000005,12.000000000000005,12.625000000000005,0.02664091153170988,0.010928947202255129,0.008480308261502575,1.2225415705507743,2.4525022267550014,0.6088994734129471,0.026488663357074223,0.008894150401508845,0.0013521380714484844,0,0.0
350,21,11,12.375000000000005,6.625000000000003,6.875000000000003,0.01877310741022218,0.008595808966371566,0.008195474255832282,1.913365991638159,3.5318471793794473,0.6994653766670282,0.018584680634581918,0.008244086663266346,0.0026393185720948002,0,0.0
351,14,7,12.375000000000005,12.000000000000005,11.625000000000002,0.026105494633401442,0.010670512683820986,0.0088609445562301,1.8394634901409574,0.6338847741365896,1.0059740960299166,0.025924132604470504,0.001303141205833901,0.0062940877266169735,0,0.0
352,13,5,0.6250000000000001,12.375000000000005,1.3750000000000002,0.026513364737030944,0.018778447118155645,0.011570192254517202,0.9046826047047123,2.1820228300461935,0.5510456874536942,0.006741031909453084,0.018535364886913576,0.0004068323051883444,1,0.0
353,12,3,0.3750000000000001,0.8750000000000002,12.375000000000005,0.04073836645363768,0.01725927379595021,0.017097373379398942,0.9347019565430528,3.1600092661441126,2.2043625023862603,0.008046398017022713,0.010573969620452216,0.016682762988909708,1,0.0
354,17,6,12.000000000000005,12.250000000000005,12.625000000000005,0.024540905787460918,0.01968361220748006,0.009857315789080452,1.6327984815346213,1.4887237575143644,0.6241742982060146,0.024363953608132045,0.010328437026658557,0.0016169386359193173,0,0.0
355,18,11,12.375000000000005,0.5000000000000001,6.250000000000003,0.013434760181775812,0.01171036812943718,0.010641273249551015,2.0199635629328867,0.8795207405889709,2.463515338232604,0.013334052457531421,0.006526341094698467,0.010508900635492197,1,0.0
356,11,4,12.375000000000005,0.5000000000000001,12.000000000000005,0.02525008015648795,0.012284406139275115,0.012224394015547584,1.8424520335766914,0.8766450560737602,0.6449930092266101,0.025185958800596337,0.006607503772099015,0.0031502830134369202,1,0.0
357,11,3,12.375000000000005,12.000000000000005,0.5000000000000001,0.033203849899595385,0.01524885918541616,0.015245150740593497,1.699344485392288,0.9437193450276311,1.2131914402914665,0.033042949565457023,0.007010563326705374,0.011727379580800763,1,0.0
358,8,3,12.375000000000005,12.000000000000005,0.5000000000000001,0.026245811689339864,0.025374727080651558,0.014915217291499281,2.1793138575355613,1.061496436870371,0.6309785623344215,0.026071749896881498,0.016751895934004276,0.002758031907131333,1,0.0
359,17,7,12.375000000000005,0.5000000000000001,12.000000000000005,0.019173636067604558,0.008077129939929102,0.005943132404352668,1.404662351391508,1.0008323301500344,0.8406218415731246,0.019142812697594252,0.003976359562605973,0.002615988627295163,1,0.0
360,16,5,12.375000000000005,0.5000000000000001,12.000000000000005,0.02149147678476842,0.008901554987669563,0.005941301686658648,1.875220921479638,0.9351571010037603,0.7892629015388195,0.021452960632151467,0.003350523092440114,0.0024476722339791188,1,0.0
361,2,1,12.375000000000005,0.5000000000000001,12.875000000000005,0.060452721178543264,0.011583429338396076,0.005560864460663728,1.286892881755719,0.8654888091482533,0.5867209520800571,0.06029936793079917,0.004722284809978748,0.00018017563646301714,1,0.0
362,8,2,12.375000000000005,0.5000000000000001,12.625000000000005,0.04682265395016213,0.009839928144462804,0.009701280290035214,1.2518931835724487,1.0719907606013233,0.7006713250609806,0.04673869175585575,0.005469162876891715,0.002063191780322199,1,0.0
363,32,12,0.3750000000000001,0.6250000000000001,1.0000000000000002,0.0281285294137964,0.02613957969977065,0.020456003121757518,0.706799229419599,1.1851048429307118,0.6290039583542812,0.00169253818967487,0.002103275857667921,0.0011977907866709443,1,0.0
364,20,7,8.199596972377865,0.4999754251449917,0.8999557652609851,0.010584087382544587,0.009107952022598974,0.00811045772724877,1.5759467257957027,2.833322017861123,1.154555258903855,0.010449737611024537,0.008423999080291653,0.0077444656801039236,1,0.0
365,18,5,0.4999754251449917,0.9999508502899834,0.6999655952029884,0.02186017244697406,0.012835263555476956,0.009224014053141343,0.8412918711082362,1.1484510036947828,0.7144221473914696,0.010168440256326575,0.008883156689985433,0.0022608273200487973,1,0.0
366,1,1,0.19999017005799669,8.199596972377865,16.29919885972673,0.0692202804869338,0.0133777043793318,0.006314333746191793,0.5327997267434499,1.2859204854618582,3.4250808823680075,0.001651572005358315,0.0131924066477129,0.00615780979999357,1,0.0
367,9,5,8.199596972377865,0.4999754251449917,16.39919394475573,0.021952837429389888,0.017450112504606145,0.010556653935895765,1.319301886140181,0.7638183074882088,3.482335757657779,0.02180721778304013,0.005743225358385302,0.010342821211097948,1,0.0
368,14,4,8.199596972377865,16.39919394475573,0.9999508502899834,0.02163083995436896,0.010639259177939408,0.008737373851101574,1.3759122764747787,3.4421650973513636,1.5457537819654519,0.02146645411195224,0.010387453222058295,0.007112910931791503,1,0.0
369,8,2,8.199596972377865,0.5999705101739901,0.8999557652609851,0.034000369068769964,0.013396162287275736,0.009773257377005271,1.345779178498617,0.8434021914940164,1.0080959207858875,0.033654008630414935,0.0003544012143836591,0.00357031798015072,1,0.0
370,3,2,0.19999017005799669,8.199596972377865,0.39998034011599337,0.050529232805431236,0.01620082722711853,0.01503193070080275,0.6573610096064346,1.3741560146955436,0.8871666076970919,0.011933892359831486,0.016048752177326864,0.002421533030194859,1,0.0
371,18,7,16.39919394475573,8.199596972377865,1.0999459353189818,0.010691608603203484,0.00989920340589491,0.005758476103637117,3.2261846559230776,1.2783892527489655,1.4766176082041529,0.010601363329456229,0.009661353700059279,0.0046267373429382235,1,0.0
