,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,freq 4,height 0,height 1,height 2,height 3,height 4,width 0,width 1,width 2,width 3,width 4,prominence 0,prominence 1,prominence 2,prominence 3,prominence 4,second harmonics,Label for OM and EL,target
0,47,37,16.333333333333336,14.583333333333336,16.500000000000004,14.083333333333336,17.000000000000004,0.009279576272970843,0.008939810335829091,0.008834403613694933,0.008347036840125924,0.007826286072714484,5.326312070456197,1.0647534745182554,0.9813519890002169,1.2292428649045632,1.4184747988431639,0.0085685517739093,0.006659198542945381,0.0030457349014206825,0.006241014894364485,0.004460448880135397,0,1,1.0
1,46,30,12.833333333333336,12.000000000000002,11.083333333333336,12.666666666666668,13.833333333333336,0.0143271404974182,0.012430251086507128,0.0111117351764069,0.010166457006290607,0.009711200406128785,1.3345299723144706,2.196597049615292,1.1867961759069203,0.9968468718880104,1.400773432786309,0.013815972931740835,0.011466079819336346,0.009563359054490848,0.009144253767402511,0.007762852621204042,0,1,1.0
2,39,26,15.500000000000002,17.000000000000004,14.583333333333336,16.500000000000004,14.333333333333336,0.00994529946311272,0.009912475675549952,0.009245411232884191,0.009044746041314332,0.008611061268079834,2.8969519062470965,1.2280056964053188,1.3799487953039886,1.4915329087232863,1.4019569461798653,0.009681462206022808,0.008402708558116097,0.008812443707282031,0.006466728910572253,0.005610892011938592,0,1,1.0
3,46,26,17.000000000000004,16.166666666666668,15.500000000000002,16.500000000000004,16.666666666666668,0.02019065289070544,0.01743463059693285,0.017392675155617227,0.015741642844018633,0.014568829612807057,2.0953635652751075,1.793379697661237,1.4612687575859695,1.1327493144568734,0.8960532308930169,0.019617930468832583,0.013007345439635564,0.013488233259613057,0.006459397909351964,0.0039314182248876076,0,1,1.0
4,4,2,8.487333736396613,16.851662636033858,1.7220677146311971,1.3530532043530834,0.6150241837968561,0.013457954214034572,0.008602031557996893,0.004335051996338551,0.003908995091952649,0.0026355223844243677,2.1108226980972233,1.3476465812964022,6.265875888006978,1.5783944724791503,1.4767207343478899,0.013258153185023613,0.00854048995572677,0.00410913777186428,0.0011285875803491636,0.0015050102311125746,1,1,1.0
5,3,2,8.487333736396613,16.851662636033858,1.3530532043530834,1.1070435308343407,7.8723095525997575,0.02134569929008156,0.015374258139166675,0.0033155164021075423,0.003050948582048516,0.002116677346940236,2.086682664513347,1.318819310752957,4.498887463966729,0.8249235656956913,0.5788420727250809,0.021230726661600575,0.015316471430165323,0.003152263978829433,0.0012466648765175092,2.1312211833669856e-05,1,1,1.0
6,5,4,8.487333736396613,16.851662636033858,5.0431983071342215,1.7220677146311971,3.4441354292623942,0.011131585595692505,0.009203181160115459,0.0029331230899661306,0.002225457659406083,0.0010818680027695083,2.1378503216592435,1.2971583983128028,1.2129223204227486,1.1565415491714415,1.3394321211453466,0.011107580961432426,0.00911313026520668,0.0028789911617883414,0.002117546044686381,0.000925538780913195,1,1,1.0
7,5,5,16.851662636033858,8.487333736396613,1.3530532043530834,5.0431983071342215,12.669498186215234,0.014974355977029497,0.0146890167869177,0.0044241672094129155,0.003084121676360759,0.003022097575756261,1.3221225593692054,2.0588782395938097,1.2257879403384297,1.1143833863352555,1.0893221409158684,0.014949916601679774,0.014620271432930135,0.0042740830465450574,0.002870199873965633,0.0029937991446257247,1,1,1.0
8,3,3,8.487333736396613,16.851662636033858,12.669498186215234,4.305169286577993,13.530532043530837,0.017387551531665622,0.008337420787613672,0.002357714477172121,0.0011280431025250824,0.000999164939991105,2.0355354323813515,1.313904356379652,1.0732967440513477,2.113594577340919,1.1879058606938884,0.01731105180584917,0.008264414846439338,0.002270100523780715,0.0009851734813189107,0.0008417069629772781,1,1,1.0
9,8,3,11.940370370370374,6.0281481481481505,0.8114814814814816,1.2751851851851854,3.941481481481482,0.008117617303565212,0.00212239964361221,0.0020486652381826406,0.001727360392677123,0.0014058325770463355,1.410866395701433,1.5296623132262397,3.1159964905659887,1.7912519907814541,2.188435161657555,0.008114441777541349,0.002069098202644447,0.0019558128043032437,0.0008257370025644591,0.0012425339364134178,1,1,1.0
10,23,8,11.940370370370374,0.9274074074074076,6.0281481481481505,1.3911111111111114,11.128888888888893,0.005225436803385645,0.0018128561096834,0.0017379042408270386,0.0015274692304867252,0.0014227827117292205,1.406704824609207,2.68379900113273,1.4209166475134154,4.544926864562941,1.4285927932820215,0.00520546354152428,0.0017906339421692183,0.00162561366539088,0.0010577914237099345,0.000997873821793056,1,1,1.0
11,19,6,11.940370370370374,0.9274074074074076,1.3911111111111114,1.6229629629629632,10.317407407407408,0.005198831891752101,0.0029455229961486322,0.0028281538102455602,0.0023538014827646256,0.0013487830554542988,1.3767269703152891,2.4706596678082917,1.229050791420784,0.9558324965675684,1.6034807553655526,0.005176869782611045,0.0028740992282883333,0.0018416130136373172,0.000788668737243758,0.0010809030991872708,0,1,1.0
12,33,21,4.057407407407409,2.550370370370371,11.824444444444447,3.7096296296296303,3.1300000000000003,0.006315650846802815,0.0059214864688431155,0.005546925433748402,0.00501959749112085,0.0040388205352244345,5.118465166213742,4.272014770957284,2.048105059823399,0.9067624040200819,0.8766352161723532,0.006036280943911017,0.004260329531794449,0.005290315123119059,0.001322674467750801,0.0013823907099632768,0,1,1.0
13,21,9,12.250000000000005,12.500000000000005,10.125000000000002,9.125000000000002,1.6250000000000004,0.01132306352031295,0.005066198712767362,0.004987704002072258,0.004441302187189977,0.00425770994425908,1.2096614515545525,0.9777780939828489,5.114808724699543,1.0733331388533998,3.1563844636552467,0.011160444743693135,0.003179261110544134,0.0048130525143441835,0.0037223264273177764,0.0039078158919673015,0,1,1.0
14,19,8,12.375000000000005,10.125000000000002,9.375000000000002,1.0000000000000002,10.500000000000002,0.02290538899283904,0.01108918213940143,0.008357054885475385,0.007295318448946069,0.0064519053574840545,1.2918209037300414,3.860393130429486,1.8889406015240269,1.6073759623589972,0.8858605554810595,0.022712330735087775,0.01061463532405477,0.004292653918545897,0.006689618117045208,0.0025386312107445116,0,1,1.0
15,34,17,9.875000000000002,10.125000000000002,12.375000000000005,9.375000000000002,12.125000000000005,0.01588714158443674,0.015206586700931644,0.014440812030640082,0.011456874220528851,0.010258103550347885,3.6098242631263275,0.6212442768465678,1.272953720530552,1.9484099402258863,1.0909512524675904,0.015747757241505844,0.0019024459291741014,0.012649326776256275,0.0069325272349181405,0.00588581110042523,0,1,1.0
16,9,3,12.375000000000005,5.625000000000001,0.3750000000000001,0.7500000000000002,1.3750000000000002,0.05751784095540247,0.014490656814181357,0.01427727875125486,0.013493482013457077,0.011223347237980451,1.3666298202909388,1.4247959833952422,1.736387262992314,1.7610673735601212,1.7557347849375233,0.056705117366693814,0.012804603657381822,0.008657447610147601,0.005463758548610314,0.003749290979626006,1,1,1.0
17,33,18,9.875000000000002,12.125000000000005,10.125000000000002,9.500000000000002,7.750000000000003,0.01850405289723779,0.014299084664766782,0.014278671058672376,0.012283737794749068,0.010650610419971023,3.6007844737300587,1.3172771880002614,0.5855098741056963,2.0697040744731225,1.3205953278876024,0.018368737699943717,0.013271383379197612,0.0010532780815783911,0.00532365908414867,0.0094032590439763,0,1,1.0
18,4,1,12.375000000000005,12.000000000000005,11.625000000000002,13.000000000000005,11.375000000000002,0.06271457432752706,0.013397040004675523,0.011702739122154826,0.011072267624856549,0.010125690797378184,2.2919820711460375,1.0409446984890707,1.8879254796292884,0.8552817811586095,0.5078804832917143,0.06250013816953964,0.00342196904487351,0.0014686555661066122,0.006183275806750226,4.590445908882537e-05,0,1,1.0
19,18,11,12.375000000000005,0.8750000000000002,1.2500000000000002,0.6250000000000001,1.5000000000000004,0.018156833981151827,0.014029888787442909,0.01340060934136092,0.012532450869288234,0.010168962889821076,2.265021662288831,11.195489554851743,0.8284556652040749,0.8029988173182643,0.7877438274821831,0.018131701096404777,0.01059548502699802,0.0025709667517634493,0.003349270405174555,0.0006820731522399707,1,1,1.0
20,2,1,8.199596972377865,16.39919394475573,8.599577312493857,7.699621547232872,7.399636292145878,0.035416476510030534,0.012501971681661127,0.004942769233467869,0.004920004531756692,0.004375727674373506,1.3738939335367917,3.7415705023765042,1.0018084245840981,2.1323725108581613,2.1351500970986166,0.03529150915319246,0.012412539214993775,0.0028330746790114565,0.0038267776681569117,0.0024744382289189513,1,1,1.0
21,5,1,8.199596972377865,16.39919394475573,8.599577312493857,0.7999606802319867,7.599626462203875,0.05517619960891559,0.018413153460554086,0.007639353781976663,0.0065240332244339535,0.006049908715977204,1.385164559275907,3.6502856811309243,1.0059237547136775,1.6327017899965526,1.7863885899623142,0.05489856369400736,0.01819366437265495,0.004142287220685622,0.006174763523629479,0.00421657182900999,1,1,1.0
22,5,1,8.199596972377865,16.39919394475573,7.899611717290869,8.599577312493857,15.899218519610734,0.051742808330519766,0.019237905530229273,0.012324550849946662,0.0076200471345902404,0.0058628963306647216,1.4173421123986998,3.5951844304912015,0.5704452351314728,1.1387639262509168,1.2759294944969781,0.05165258601921884,0.019162485464599838,0.0013905074736384748,0.004911230907346298,0.004327250397258682,1,1,1.0
23,6,2,8.199596972377865,16.39919394475573,7.899611717290869,4.0997984861889325,8.599577312493857,0.050339269164792484,0.017751722296190542,0.011920073798539996,0.009439009414017804,0.00705830715924837,1.425947560104774,3.67978655602289,0.5996559302147517,1.3312717212949323,1.1085407597886814,0.05012801575070768,0.017583473047035166,0.001860594028697116,0.008861182704108178,0.004131534891137902,1,1,1.0
24,9,4,8.199596972377865,16.39919394475573,7.999606802319867,7.199646122087881,7.699621547232872,0.02872123938599955,0.02512915188071637,0.009973189427752641,0.0058694476202709655,0.005725195510410912,1.2529077713043364,3.3120509220142935,1.1685753899949702,1.4159101180985658,0.9124343905649113,0.028449280783723142,0.024880392557726068,0.004102364631076786,0.0017097015063815774,0.0012912903356291187,1,1,1.0
