,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,second harmonics,Label for OM and EL,target
441,5,1,8.199596972377865,16.39919394475573,7.999606802319867,0.02208794700202713,0.012536083108923823,0.006729248525037652,1.3160219904565054,3.5304836444944954,0.6850572459107411,0.02195024502229357,0.012375873261044917,0.00101005617761076,1,1,0.0
442,5,1,8.199596972377865,16.39919394475573,15.899218519610734,0.031598891880095695,0.018374922369491956,0.004200899618838913,1.3745194810675656,3.3685270099370825,1.0446903027128087,0.031510231786058565,0.018290980743549987,0.002255529162795442,1,1,0.0
443,9,3,8.199596972377865,16.39919394475573,4.0997984861889325,0.05699938072762676,0.0403380360608799,0.027184325253382182,1.38848962923079,3.5352210862386926,1.1382280381117909,0.05684055191629982,0.03991661069069294,0.02701775856255013,1,1,0.0
444,4,2,8.199596972377865,16.29919885972673,1.6999164454929718,0.025444329402834743,0.01121952146675792,0.004161285796762278,1.3001694488897897,3.6088298869977393,1.196096505328569,0.02536549908304116,0.011139748053323144,0.0037793665140779973,1,1,0.0
445,38,27,8.199596972377865,6.199695271797898,6.499680526884892,0.015113123977387352,0.013001680973629104,0.011773501144501012,1.4483108654872296,5.2094065832518055,0.9451758631320786,0.015004292499734471,0.0128120593226871,0.006605067034215672,0,1,0.0
446,5,1,8.199596972377865,16.39919394475573,7.999606802319867,0.02574946171516109,0.01150954542157923,0.008261522808876105,1.312507990266397,3.651278815736049,0.7900108978148523,0.025721836280111973,0.011480916929401697,0.001896977561707541,1,1,0.0
447,7,1,8.199596972377865,16.39919394475573,7.699621547232872,0.030465741365039482,0.016989460457886126,0.0039791083783849756,1.3582528050149847,3.411893354336172,0.9766078512502361,0.030340171106585438,0.01693283011425133,0.0021539271785944608,1,1,0.0
448,9,3,8.199596972377865,4.0997984861889325,16.39919394475573,0.039338314948963074,0.032656562179604665,0.026486866766429803,1.4268746645393264,1.1546402477143545,3.453510554019232,0.039062927906457,0.032376344180506875,0.026306782848907834,1,1,0.0
449,17,10,8.199596972377865,7.999606802319867,8.599577312493857,0.04463846816511434,0.01547321783627135,0.01052465588683222,1.3235733788066426,0.8112193191049784,0.8173063831860787,0.04433845359171229,0.002139523869443891,0.0060252146052715205,0,1,0.0
450,4,1,8.199596972377865,16.39919394475573,6.599675611913892,0.033536717638770884,0.010093312527100684,0.0034762114810639273,1.3287522129685527,3.7878050455353502,1.1961553278777046,0.03339616299080821,0.0100512946390852,0.003295490899101022,1,1,0.0
