,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,second harmonics ,target
341,2,1,12.375000000000005,11.625000000000002,11.875000000000002,0.05190262021289396,0.008809983346178663,0.008290186066713586,1.457785282889276,3.2044226556821513,0.6853434946450392,0.05150826231659876,0.0036914748227609255,0.001175699599523245,0,0.0
342,33,17,12.375000000000005,10.125000000000002,9.125000000000002,0.012894862600150313,0.009917445890591788,0.007293428331471174,1.519949140189098,1.4999263218278998,1.1232146481851544,0.01261994847523365,0.009009896284875642,0.0057013532033189885,0,0.0
343,24,14,9.750000000000002,9.125000000000002,12.375000000000005,0.011941732213665205,0.011656419389566706,0.01029528645618343,3.005254450104772,1.1762886778943482,1.408879546003206,0.011733839590030631,0.008316681280584184,0.008931197658276371,0,0.0
344,8,2,12.375000000000005,12.000000000000005,12.625000000000005,0.036259080998868286,0.020069973432268174,0.011962809940459512,1.4328677329365291,1.9123879068625769,0.5458279996396271,0.036149726651560445,0.015585134940793884,0.000760726757766856,0,0.0
345,2,1,12.375000000000005,6.250000000000003,0.8750000000000002,0.06146554812627384,0.010909569745599215,0.009051432939222896,1.401373552983344,1.861173692284467,17.17899376077411,0.06098482720662422,0.010322196706698065,0.008414853270173597,1,0.0
346,5,1,12.375000000000005,11.750000000000002,0.6250000000000001,0.04364677468819175,0.008224906122259474,0.006704618415061466,1.406556199451856,3.888763537374018,1.8714967350516525,0.043453064058485695,0.0031000334829697496,0.0037696615418753012,0,0.0
347,36,18,8.750000000000002,9.375000000000002,9.125000000000002,0.012435063187808095,0.011476311994405986,0.01105512065868578,1.7972388892781055,0.9933592645953411,0.9155980478524128,0.012225120165269374,0.006649538406978443,0.005176977768324354,0,0.0
348,6,2,12.375000000000005,12.000000000000005,12.625000000000005,0.04607773573282497,0.033879379075147084,0.01724293551076348,1.7030640311784992,1.8749439244054145,0.720503847300634,0.04603295268112348,0.027893540447266725,0.004450326057141645,0,0.0
349,9,1,12.375000000000005,12.000000000000005,12.625000000000005,0.026674572941312067,0.010917441936061176,0.008442026529637813,1.2249963275750986,2.4669190227523927,0.6045384288366478,0.026551805183368186,0.00887173667159272,0.0012963191806752445,0,0.0
350,21,11,12.375000000000005,6.625000000000003,6.875000000000003,0.018736001509671075,0.008592337093869784,0.008095667576657998,1.9319236736180017,3.5160184781207278,0.6860498648982158,0.018652118470189466,0.008176712657692025,0.002458901753975803,0,0.0
351,15,8,12.375000000000005,12.000000000000005,11.625000000000002,0.026271329282671892,0.010844384137695492,0.008900897410950055,1.8561884036649587,0.6592273730846472,0.9873173339228742,0.026236600194263344,0.0016326268918303837,0.006202486650804823,0,0.0
352,20,8,12.375000000000005,12.000000000000005,1.3750000000000002,0.019102851733940336,0.010695549794119569,0.0075652192875218785,2.131642792386259,0.6544220941767662,7.34254803806091,0.018893835139192166,0.0031485487445601507,0.005201118272357576,0,0.0
353,28,11,12.375000000000005,12.000000000000005,0.7500000000000002,0.016258002316336922,0.011972492397259265,0.0068456641390905425,2.362451483851302,0.8427990237025114,2.298671448084252,0.016147766175948434,0.005680927566553079,0.005644738894192331,0,0.0
354,17,5,12.000000000000005,12.250000000000005,12.625000000000005,0.02463975464174427,0.01975517122246029,0.009956505999907007,1.628593089696821,1.4849474052337825,0.6353477743015787,0.024475324435267683,0.01047444820323436,0.001781714073233005,0,0.0
355,18,11,12.375000000000005,6.250000000000003,12.000000000000005,0.013434021195270995,0.010653014714134995,0.005568946100136522,2.020222702105457,2.4585634770038,0.8725437686896669,0.013330112012000489,0.01050133558497431,0.0027325742657881335,1,0.0
356,11,3,12.375000000000005,12.000000000000005,11.625000000000002,0.02524630602749164,0.012220760227810112,0.0058813890943455824,1.841290326474052,0.6447226176241116,1.6640163355389035,0.025174690658714676,0.0031441098495839266,0.004523166807046427,0,0.0
357,10,2,12.375000000000005,12.000000000000005,11.625000000000002,0.03310880843657887,0.015195635423780104,0.007161403093147366,1.7026357659593288,0.9319840219487929,0.7044279151552075,0.03304587306171598,0.0068607600338345485,0.0018860260181923954,0,0.0
358,8,2,12.375000000000005,12.000000000000005,11.625000000000002,0.026205402968620967,0.02531705312971116,0.008802053033872024,2.188423073149494,1.057822135692291,0.7686406189344837,0.026092159426203725,0.016632015392946446,0.0024177223221812276,0,0.0
359,17,5,12.375000000000005,12.000000000000005,11.625000000000002,0.019193588637220992,0.005963207910109008,0.0044751173348221976,1.4051844173967254,0.8435563906944878,1.2583623842576799,0.01915723820744907,0.002651205801180457,0.00384014052388062,0,0.0
360,16,4,12.375000000000005,12.000000000000005,9.125000000000002,0.02147849866855988,0.006005456135000066,0.005135229554232263,1.869590016608072,0.7986670919084133,1.2163086700208083,0.02130058902797068,0.0025752309499398112,0.0047636459748735946,0,0.0
361,1,1,12.375000000000005,12.875000000000005,13.250000000000005,0.060451463185002566,0.005569608472360002,0.005286425275530842,1.2889047980082893,0.5935319124366742,0.7880392131088314,0.06038108634635352,0.0001974946531218989,0.0017036912581289013,0,0.0
362,6,1,12.375000000000005,12.625000000000005,8.875000000000002,0.04687160278886618,0.009717176442513357,0.007301516636374015,1.2576916550738133,0.6827133377046408,5.501142426605,0.04682337879822183,0.0019162210369093723,0.007113330251884719,0,0.0
363,44,27,8.125000000000002,9.000000000000002,1.0000000000000002,0.016361350728680283,0.015523864442871188,0.012949943646224196,1.568917969269613,1.1055037031723174,7.559212694284442,0.01621806433463325,0.01394395176605916,0.008823196903613368,0,0.0
364,20,6,8.199596972377865,16.39919394475573,1.6999164454929718,0.010569902224205462,0.00626008686699815,0.005995228668849301,1.5814100412346335,3.067286910939714,3.454939849523061,0.01045314047057364,0.006152972577060204,0.005767517004483684,1,0.0
365,42,25,0.9999508502899834,8.199596972377865,1.6999164454929718,0.008393041238316905,0.006422530684868989,0.00612901512971314,1.2471691878274136,3.3865037786494696,2.1362329599352137,0.007266210342878737,0.006143054463500561,0.004513939052292685,0,0.0
366,15,3,8.199596972377865,16.29919885972673,7.899611717290869,0.013375265504924969,0.006312745848785027,0.004591164227972268,1.285932476439129,3.4252047155791274,1.1239147190152892,0.013185813114342745,0.006155114746535071,0.0009649364250561895,1,0.0
