,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,freq 4,height 0,height 1,height 2,height 3,height 4,width 0,width 1,width 2,width 3,width 4,prominence 0,prominence 1,prominence 2,prominence 3,prominence 4,second harmonics ,target
626,12,4,11.9994102034798,3.6998181460729382,1.3999311904059768,3.9998034011599337,2.39988204069596,0.002416287330190181,0.0006289425182879612,0.0005902013024485037,0.0005631573889258379,0.0005492220657919407,1.2144555952171885,2.157311618953891,2.2636674483218595,1.1616549086709327,1.394223056764563,0.0023892126516438807,0.0005891357369073175,0.00052637658668982,0.00036199305706641286,0.000402952126257439,0,0.0
627,7,2,11.9994102034798,2.099896785608965,6.099700186768899,3.5998230610439403,5.199744421507914,0.0027428034927277412,0.0013351709474220216,0.0006808485654825128,0.00034888082588219665,0.000311428777806716,1.1998721801251833,1.405087403619362,3.8302302648046336,2.9973205253185853,1.2442439771643947,0.002740467077270735,0.0013140874764861227,0.0006281864352336844,0.00028542349936342386,0.00020944012302061204,1,0.0
628,13,3,11.9994102034798,5.9997051017399015,2.099896785608965,2.6998672957829557,3.499827976014942,0.003346082332639673,0.0012931830370201025,0.001206404325020834,0.0009013144654661974,0.0009004111335342002,1.253219484441658,1.584027269190706,4.59865119890512,1.6160957210655518,2.7846372998813713,0.003343721737574226,0.0012832435396389085,0.0011864629873579165,0.0008420749207527698,0.0006925755700303738,1,0.0
629,4,2,11.9994102034798,5.9997051017399015,11.399439693305812,17.999115305219703,12.399390543595796,0.00599229997924937,0.002101171730170789,0.0004962217266865407,0.00044261299151877783,0.00043530472915264085,1.2538751970751463,1.4040176698496367,1.13050100602851,1.176746766501651,0.5555994492146255,0.0059824629126870935,0.0020874665143361887,0.00045079529802693303,0.00044054351369343994,4.1603085568461525e-05,1,0.0
630,5,4,11.9994102034798,5.9997051017399015,1.7999115305219702,3.499827976014942,3.2998378059569453,0.006976146234008072,0.0015564115342687613,0.0013586539720676313,0.0009085323476285321,0.0008752360893552793,1.232212839545042,1.6962232842283953,1.2041247419862948,1.1013412458650507,1.5919679643078588,0.006967816762173859,0.0015449348156508168,0.0012991160173852411,0.0008122146726989173,0.0006870813058638466,1,0.0
631,15,9,0.7500000000000002,2.1250000000000004,1.1250000000000002,9.875000000000002,2.3750000000000004,0.007291381457674891,0.005350463357558734,0.005065384280658254,0.004914978192628399,0.0047611026708146605,11.050638082145033,0.857886049768279,0.7796753821408577,2.408650688805949,0.8238994634217747,0.006855288583437936,0.0014924650522532513,0.0005207370898901538,0.004837741912521816,0.0014957513946287195,0,0.0
632,12,2,1.2500000000000002,1.5000000000000004,0.7500000000000002,1.8750000000000004,2.7500000000000004,0.01782369109649819,0.017346745278391154,0.016428638553154278,0.014525924950337337,0.008324364443936815,9.624782481926353,0.5930060752377244,1.1643406850554374,2.088049322161872,2.058917954275973,0.015250155980841552,0.0011471171057047744,0.0031373010217287597,0.006156749504080853,0.006978936507749358,1,0.0
633,10,5,9.875000000000002,1.0000000000000002,19.625000000000004,1.2500000000000002,2.1250000000000004,0.006401078952188732,0.004102981654823421,0.003988884635903126,0.003133994720885705,0.0021754688860709586,1.8460998116839562,3.2151709042818135,1.2498833252628856,0.6404414475681062,3.01046459116313,0.006283535026865407,0.0035938908586445905,0.003981972750469711,0.00043384991662557626,0.0015602968430167509,1,0.0
634,17,13,0.8750000000000002,1.5000000000000004,1.7500000000000004,1.1250000000000002,0.6250000000000001,0.02937974909610745,0.025318188507415924,0.02517853476376797,0.02449102676519726,0.018631851180893024,1.4544436348371734,0.9423454311548998,1.5774103905823598,1.0151945816711097,1.1357751676089962,0.02875270345727546,0.013688316023877026,0.020782182872417752,0.010297651435479161,0.011558217821585563,1,0.0
635,14,10,1.0000000000000002,9.875000000000002,2.1250000000000004,1.2500000000000002,19.625000000000004,0.005974329691469943,0.005237437191951907,0.0038945225124591993,0.0036368329271510968,0.003372243209718617,1.442116739795516,2.293669277781561,2.927192433124322,1.0196109169350844,1.25876937946623,0.00577405701441208,0.005198873704342529,0.003260477451254671,0.0013997700685507526,0.0033604289010360096,1,0.0
636,12,7,1.3750000000000002,0.8750000000000002,1.1250000000000002,2.1250000000000004,2.6250000000000004,0.06088571714593422,0.04977894741807283,0.04427540543246845,0.029908566035813763,0.023410840583801815,1.9614532206359119,3.0328099466777205,0.6437874505506098,3.4506771519867137,1.1977558343992172,0.05967952497935006,0.04601058481200633,0.011648808834705426,0.025428139235036423,0.02107343940694595,1,0.0
637,20,8,1.2500000000000002,2.1250000000000004,1.7500000000000004,1.0000000000000002,3.3750000000000013,0.010778505293337822,0.007149553453540238,0.007005143302142894,0.006806334963087603,0.0064053186061778225,3.4879644140808175,2.672287555082729,2.7678419298642023,0.5458956991833634,1.512323150059487,0.010622780464322554,0.005471792319392023,0.004368221510512813,0.00013593170213235372,0.004754410837569506,1,0.0
638,11,6,1.1250000000000002,0.7500000000000002,9.875000000000002,1.5000000000000004,2.1250000000000004,0.01833551295593881,0.01233914295141767,0.008754714365010581,0.007292665162534165,0.0067585745848805934,2.275515045282156,0.7854910041659666,2.376478967891657,1.7826670943734975,1.042829132625327,0.01711765291326829,0.004668435548727832,0.008535982183053091,0.0031526224942147922,0.005296557247313547,1,0.0
639,22,11,9.875000000000002,0.6250000000000001,2.2500000000000004,1.0000000000000002,1.2500000000000002,0.010305282769731965,0.006999173863587529,0.006530027831008753,0.006387319045559425,0.0063423319833585175,2.2840055854153007,1.4818464574092038,3.118124600366377,1.3672764959657409,1.156037896525893,0.01019180167484383,0.006827087147094991,0.005635789932765253,0.005155495820618353,0.003729501299056666,1,0.0
640,11,7,1.0000000000000002,1.8750000000000004,4.000000000000001,2.8750000000000004,2.5000000000000004,0.02093577609586755,0.01278813196262539,0.010075001704782795,0.008872256402006038,0.007248996687437032,1.1255564594286307,3.0842538793564653,1.575309406064484,1.8847637739438774,1.8955851385738285,0.02046943637810702,0.010896256398166278,0.008351512764033854,0.005041205360462991,0.0031422244282247463,0,0.0
