,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,freq 4,height 0,height 1,height 2,height 3,height 4,width 0,width 1,width 2,width 3,width 4,prominence 0,prominence 1,prominence 2,prominence 3,prominence 4,second harmonics ,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,height 0,height 1,height 2,height 3,width 0,width 1,width 2,width 3,prominence 0,prominence 1,prominence 2,prominence 3,second harmonics ,target
0,47,37,16.333333333333336,14.583333333333336,16.500000000000004,14.083333333333336,17.000000000000004,0.009279576272970848,0.008939810335829093,0.008834403613694933,0.008347036840125924,0.007826286072714484,5.326312070456197,1.0647534745182554,0.9813519890002168,1.2292428649045632,1.4184747988431925,0.008568551773909305,0.006659198542945383,0.003045734901420684,0.006241014894364485,0.0044604488801353965,0,25,8,12.04227082821332,12.779552715654953,11.141148521340213,16.957483411157533,5.300600587905183,2.204390546784086,2.162598254929786,2.090350942251839,1.955502747298567,3.729878438050577,2.9088981440206676,1.3648342622884968,5.243226683488388,2.143604232402869,1.4586290402198432,1.7868387462284232,0,1.0
1,46,30,12.833333333333336,12.000000000000002,11.083333333333336,12.666666666666668,13.833333333333336,0.0143271404974182,0.012430251086507128,0.0111117351764069,0.010166457006290605,0.009711200406128785,1.3345299723144706,2.196597049615292,1.1867961759069203,0.9968468718880104,1.400773432786309,0.013815972931740837,0.011466079819336346,0.009563359054490845,0.009144253767402508,0.007762852621204044,0,52,32,9.338903907594002,12.04227082821332,11.059228311624477,10.48578684361432,2.8738395617068533,2.8228206326637326,2.2700376570935648,2.236576017523776,5.120579569630066,1.921957516698825,1.0945282172857276,4.0531603674418335,2.7950246138576467,2.64641673122326,1.8733936961337028,1.6627943483872474,0,1.0
2,39,26,15.500000000000002,17.000000000000004,14.583333333333336,16.500000000000004,14.333333333333336,0.009945299463112716,0.009912475675549957,0.009245411232884195,0.009044746041314332,0.008611061268079834,2.8969519062470965,1.2280056964053188,1.3799487953039886,1.4915329087232865,1.401956946179865,0.009681462206022805,0.008402708558116105,0.008812443707282036,0.006466728910572253,0.0056108920119385865,0,35,18,12.04227082821332,9.830425165888425,10.076185795035633,13.352994183665107,3.9298641415494617,2.8001415507146334,2.0686553772497067,1.9001981734875268,2.301845796631653,2.1447840278647448,0.9395233164915736,2.3150410247414186,3.8468191929192,2.3744722524337902,1.1513171280011432,1.64434027868318,0,1.0
3,46,26,17.000000000000004,16.166666666666668,15.500000000000002,16.500000000000004,16.666666666666668,0.02019065289070544,0.017434630596932846,0.017392675155617227,0.01574164284401864,0.014568829612807057,2.0953635652751075,1.7933796976612368,1.4612687575859695,1.1327493144568734,0.8960532308930169,0.019617930468832586,0.013007345439635555,0.013488233259613056,0.006459397909351971,0.003931418224887606,0,46,23,12.04227082821332,9.830425165888425,10.48578684361432,10.240026214467107,2.8780011109173533,2.4868288635716067,2.246315497113065,2.2020843925477918,2.5997452508019308,2.41565731562622,1.347069422003429,1.3992799376564165,2.804974131328533,2.2772393323945352,1.4859355975577642,0.8611871923598466,0,1.0
4,8,3,11.940370370370376,6.028148148148151,0.8114814814814816,1.2751851851851854,3.941481481481482,0.008117617303565212,0.00212239964361221,0.0020486652381826397,0.0017273603926771233,0.001405832577046335,1.4108663957014331,1.5296623132262397,3.1159964905659905,1.7912519907814524,2.1884351616575546,0.008114441777541349,0.002069098202644447,0.001955812804303243,0.0008257370025644593,0.0012425339364134172,1,9,1,11.851851851851851,7.407407407407407,10.370370370370368,13.333333333333336,6.916544633037598,2.1178897984638767,2.042650511070083,1.6381374785514142,2.690967631706002,2.5865763057849516,3.66588055325262,3.4868865683840515,6.837914083977402,1.9651908054312357,1.7254564480381809,1.4831259504167758,0,1.0
5,23,8,11.940370370370376,0.9274074074074076,6.028148148148151,1.3911111111111114,11.128888888888893,0.005225436803385645,0.0018128561096834004,0.0017379042408270384,0.001527469230486725,0.0014227827117292199,1.4067048246092069,2.683799001132731,1.4209166475134154,4.5449268645629415,1.4285927932820215,0.00520546354152428,0.0017906339421692183,0.0016256136653908795,0.001057791423709934,0.0009978738217930553,1,13,2,11.851851851851851,7.407407407407407,10.370370370370368,9.002849002849002,5.891806062908655,2.5586689786580457,2.4884014494154068,1.9389955560036627,2.8341879119360267,2.563077383004717,4.570550279715262,2.0270582156710475,5.83349907000641,2.3985794089786947,2.159725871094974,1.3881687370796456,0,1.0
6,19,6,11.940370370370376,0.9274074074074076,1.3911111111111114,1.6229629629629632,10.317407407407408,0.005198831891752102,0.0029455229961486322,0.0028281538102455602,0.0023538014827646256,0.0013487830554542984,1.3767269703152891,2.470659667808292,1.2290507914207842,0.9558324965675684,1.6034807553655526,0.005176869782611046,0.002874099228288333,0.0018416130136373167,0.000788668737243758,0.0010809030991872704,0,20,6,8.433048433048434,7.407407407407407,11.965811965811966,9.002849002849002,3.564295822282601,2.9418788455417206,2.9217677737917582,2.8115046838229762,2.130968870451269,2.3412109511761727,2.625167646372418,2.13447475644277,3.5014522980434664,2.4194338483448763,2.8418175705839515,2.226286298624545,0,1.0
7,33,21,4.057407407407409,2.550370370370371,11.824444444444447,3.7096296296296303,3.1300000000000003,0.006315650846802814,0.0059214864688431155,0.005546925433748402,0.00501959749112085,0.004038820535224433,5.118465166213742,4.272014770957284,2.048105059823399,0.906762404020082,0.8766352161723532,0.006036280943911016,0.00426032953179445,0.0052903151231190595,0.001322674467750801,0.0013823907099632755,0,6,1,11.851851851851851,10.370370370370368,13.333333333333336,12.535612535612536,8.262071291729226,2.204336286214704,1.9493230731789368,1.5501628330384971,2.688217723940724,3.1285919721720603,3.4024264628894656,0.890925171175823,8.189761060656721,1.8766495467163868,1.4078090806923118,0.5355349378693839,0,1.0
8,4,2,11.9994102034798,5.9997051017399015,17.999115305219703,2.39988204069596,11.399439693305812,0.020211078225508,0.004212329861958886,0.002075452819713425,0.0019168746367657168,0.0015094069276111511,1.215173937399868,1.3047406729073856,1.397358506286679,2.1595938255896385,1.267389207060404,0.020191800055231496,0.0041881141262650615,0.00206703679149114,0.0017383173857525296,0.0014738533605726618,1,15,1,11.992529244077463,17.595596185982505,19.168386906517245,17.89049444608277,8.768621009225631,2.3386777349852945,2.0307038861172764,1.8679585867901167,1.9043069163741817,4.629044053561671,4.051253499459023,0.6207482878759834,8.626388606633919,2.1938048100045986,1.4924390025237964,0.21020590936525507,0,1.0
9,3,3,11.9994102034798,5.9997051017399015,17.999115305219703,2.1998918706379635,1.5999213604639737,0.008867489138443133,0.005086383563633138,0.0016007373557655616,0.0007654723141364325,0.0007263273527567776,1.2176694892861804,1.4318224312670864,1.313114904133556,4.5013965239492,2.028301717898678,0.00886233884818919,0.005028462293863111,0.0015552937943658575,0.0006989744614663214,0.00033443148735656347,1,12,5,11.992529244077463,5.996264622038732,1.3761918804679052,7.07755824240637,10.115124590779649,4.513879431135421,2.0826173199281444,2.023034082231084,1.81131008198831,1.3159765552612015,2.578462056641751,1.0786072251052872,10.09055532562683,4.410244282964015,2.0170960520661145,1.5649077654288963,1,1.0
